"tissue_sheet_row","id_tissue","id_key","institutionCode","catalogNumber","cat_norm","year","specimen_id","institutionCode_specimen","locality","verbatimLocality","verbatimCoordinates","decimalLatitude","decimalLongitude","county","municipality","DNA tissue","leaf_tissue","notes"
161,"2449627",2449627,"CAS","74280","74280","1932",2449627,"CAS","2 miles southwest of Glendora.",,,,,"Los Angeles County",,"5 terminal bud clusters","yes, cauline with basal morphology ","extra leaf tissue"
162,,,"CAS","911736","911736","1936",,,,,,,,,,"1 large terminal bud cluster, 1 axillary bud, 1 little leaf","yes, cauline with basal morphology ","https://www.cch2.org/portal/collections/individual/index.php?occid=6245987&clid=0"
163,"2442814",2442814,"CAS","74240","74240","1961",2442814,"CAS","Yosemite National Park. Vicinity of Camp White Wolf.",,"37°52'N, 119°39'W",37.8666666667,-119.65,"Tuolumne County",,"4 axillary buds, some small buds ","yes, cauline with basal morphology ",
166,"5569675",5569675,"CAS","684518","684518","1962",5569675,"CAS","Oakland",,,,,"Alameda County",,"4 axillary buds","yes, cauline with basal morphology ",
167,"5569850",5569850,"CAS","685177","685177","1962",5569850,"CAS","Byron",,,,,"Contra Costa County",,"2 terminal bud clusters","yes, cauline with basal morphology ",
168,"5569676",5569676,"CAS","684519","684519","1963",5569676,"CAS","Oakland",,,,,"Alameda County",,"4 axillary buds","yes, cauline with basal morphology ",
169,"2313500",2313500,"CAS","74288","74288","1967",2313500,"CAS","Angel Island. Below East Garrison, east side of island.",,"37.8599310000, -122.4204660000",37.859931,-122.420466,"Marin County",,"3 axillary buds","yes, cauline with basal morphology ",
170,"5504852",5504852,"CAS","684489","684489","1970",5504852,"CAS","Stinson Beach",,,,,"Marin County",,"2 terminal bud clusters, 1 axillary bud","yes, cauline with basal morphology ",
178,"2414651",2414651,"CAS","74335","74335","1952",2414651,"CAS","Temblor Range and the Western San Joaquin Valley. Twisselmann Ranch, 7 miles south of Cholame.",,,,,"San Luis Obispo County",,"1 axillary bud","yes, cauline with cauline morphology ",
179,"2423571",2423571,"CAS","74358","74358","1953",2423571,"CAS","Saint Mary of the Palms, summer girls' camp near Glenwood.",,"37°06.5'N, 121°59.1'W",37.1083333333,-121.985,"Santa Cruz County",,"2 terminal bud cluster","yes, cauline with cauline morphology ","flatter terminal bud likely has glue"
